"","Request.id","Pickup.point","Driver.id","Status","Request.timestamp","Requested.Date","Requested.Time","Drop.timestamp","Drop.Date","Drop.Time","Request.Date.Hour","Request.Date.Mins","Drop.Date.Hour","Drop.Date.Mins","travel.time.mins","trip.direction","new_seq","RequestedTimeSlot","wait_time"
"25",17,"Airport",NA,"No Cars Available",2016-07-11 01:16:00,"2016-07-11","01:16:00",NA,NA,NA,1,16,NA,NA,NA,"Airport to City",25,"Late Night (00:00 to 04:00)",NA
"26",20,"Airport",NA,"No Cars Available",2016-07-11 01:23:00,"2016-07-11","01:23:00",NA,NA,NA,1,23,NA,NA,NA,"Airport to City",26,"Late Night (00:00 to 04:00)",NA
"27",21,"Airport",194,"Trip Completed",2016-07-11 01:29:00,"2016-07-11","01:29:00",2016-07-11 02:05:00,"2016-07-11","02:05:00",1,29,2,5,36,"Airport to City",27,"Late Night (00:00 to 04:00)",NA
"28",23,"City",NA,"No Cars Available",2016-07-11 01:38:00,"2016-07-11","01:38:00",NA,NA,NA,1,38,NA,NA,NA,"City to Airport",28,"Late Night (00:00 to 04:00)",NA
"29",22,"Airport",NA,"No Cars Available",2016-07-11 01:40:00,"2016-07-11","01:40:00",NA,NA,NA,1,40,NA,NA,NA,"Airport to City",29,"Late Night (00:00 to 04:00)",NA
"30",25,"Airport",NA,"No Cars Available",2016-07-11 01:45:00,"2016-07-11","01:45:00",NA,NA,NA,1,45,NA,NA,NA,"Airport to City",30,"Late Night (00:00 to 04:00)",NA
"31",24,"Airport",NA,"No Cars Available",2016-07-11 01:48:00,"2016-07-11","01:48:00",NA,NA,NA,1,48,NA,NA,NA,"Airport to City",31,"Late Night (00:00 to 04:00)",NA
"32",27,"Airport",NA,"No Cars Available",2016-07-11 01:49:00,"2016-07-11","01:49:00",NA,NA,NA,1,49,NA,NA,NA,"Airport to City",32,"Late Night (00:00 to 04:00)",NA
"33",26,"Airport",NA,"No Cars Available",2016-07-11 01:49:00,"2016-07-11","01:49:00",NA,NA,NA,1,49,NA,NA,NA,"Airport to City",33,"Late Night (00:00 to 04:00)",NA
"34",29,"City",NA,"No Cars Available",2016-07-11 01:55:00,"2016-07-11","01:55:00",NA,NA,NA,1,55,NA,NA,NA,"City to Airport",34,"Late Night (00:00 to 04:00)",NA
"35",28,"City",NA,"No Cars Available",2016-07-11 02:02:00,"2016-07-11","02:02:00",NA,NA,NA,2,2,NA,NA,NA,"City to Airport",35,"Late Night (00:00 to 04:00)",NA
"36",30,"Airport",297,"Trip Completed",2016-07-11 02:04:00,"2016-07-11","02:04:00",2016-07-11 02:37:00,"2016-07-11","02:37:00",2,4,2,37,33,"Airport to City",36,"Late Night (00:00 to 04:00)",NA
"37",31,"City",NA,"No Cars Available",2016-07-11 02:10:00,"2016-07-11","02:10:00",NA,NA,NA,2,10,NA,NA,NA,"City to Airport",37,"Late Night (00:00 to 04:00)",NA
"38",32,"Airport",NA,"No Cars Available",2016-07-11 02:15:00,"2016-07-11","02:15:00",NA,NA,NA,2,15,NA,NA,NA,"Airport to City",38,"Late Night (00:00 to 04:00)",NA
"39",33,"Airport",170,"Trip Completed",2016-07-11 02:17:00,"2016-07-11","02:17:00",2016-07-11 03:31:00,"2016-07-11","03:31:00",2,17,3,31,74,"Airport to City",39,"Late Night (00:00 to 04:00)",NA
"40",34,"City",78,"Trip Completed",2016-07-11 02:20:00,"2016-07-11","02:20:00",2016-07-11 03:34:00,"2016-07-11","03:34:00",2,20,3,34,74,"City to Airport",40,"Late Night (00:00 to 04:00)",522.5
"41",36,"City",NA,"No Cars Available",2016-07-11 02:33:00,"2016-07-11","02:33:00",NA,NA,NA,2,33,NA,NA,NA,"City to Airport",41,"Late Night (00:00 to 04:00)",NA
"42",37,"Airport",NA,"No Cars Available",2016-07-11 02:34:00,"2016-07-11","02:34:00",NA,NA,NA,2,34,NA,NA,NA,"Airport to City",42,"Late Night (00:00 to 04:00)",NA
"43",35,"City",107,"Trip Completed",2016-07-11 02:36:00,"2016-07-11","02:36:00",2016-07-11 03:03:00,"2016-07-11","03:03:00",2,36,3,3,27,"City to Airport",43,"Late Night (00:00 to 04:00)",333
"44",38,"City",NA,"No Cars Available",2016-07-11 02:39:00,"2016-07-11","02:39:00",NA,NA,NA,2,39,NA,NA,NA,"City to Airport",44,"Late Night (00:00 to 04:00)",NA
"45",40,"Airport",NA,"No Cars Available",2016-07-11 02:42:00,"2016-07-11","02:42:00",NA,NA,NA,2,42,NA,NA,NA,"Airport to City",45,"Late Night (00:00 to 04:00)",NA
"46",41,"City",109,"Trip Completed",2016-07-11 02:47:00,"2016-07-11","02:47:00",2016-07-11 03:23:00,"2016-07-11","03:23:00",2,47,3,23,36,"City to Airport",46,"Late Night (00:00 to 04:00)",395
"47",39,"Airport",NA,"No Cars Available",2016-07-11 02:48:00,"2016-07-11","02:48:00",NA,NA,NA,2,48,NA,NA,NA,"Airport to City",47,"Late Night (00:00 to 04:00)",NA
"48",42,"Airport",NA,"No Cars Available",2016-07-11 02:55:00,"2016-07-11","02:55:00",NA,NA,NA,2,55,NA,NA,NA,"Airport to City",48,"Late Night (00:00 to 04:00)",NA
"49",43,"City",NA,"No Cars Available",2016-07-11 03:06:00,"2016-07-11","03:06:00",NA,NA,NA,3,6,NA,NA,NA,"City to Airport",49,"Late Night (00:00 to 04:00)",NA
"50",44,"Airport",NA,"No Cars Available",2016-07-11 03:07:00,"2016-07-11","03:07:00",NA,NA,NA,3,7,NA,NA,NA,"Airport to City",50,"Late Night (00:00 to 04:00)",NA
"51",48,"City",150,"Trip Completed",2016-07-11 03:14:00,"2016-07-11","03:14:00",2016-07-11 04:19:00,"2016-07-11","04:19:00",3,14,4,19,65,"City to Airport",51,"Late Night (00:00 to 04:00)",560.142857142857
"52",46,"Airport",NA,"No Cars Available",2016-07-11 03:16:00,"2016-07-11","03:16:00",NA,NA,NA,3,16,NA,NA,NA,"Airport to City",52,"Late Night (00:00 to 04:00)",NA
"53",45,"Airport",12,"Trip Completed",2016-07-11 03:17:00,"2016-07-11","03:17:00",2016-07-11 04:09:00,"2016-07-11","04:09:00",3,17,4,9,52,"Airport to City",53,"Late Night (00:00 to 04:00)",NA
"54",50,"City",100,"Trip Completed",2016-07-11 03:22:00,"2016-07-11","03:22:00",2016-07-11 03:57:00,"2016-07-11","03:57:00",3,22,3,57,35,"City to Airport",54,"Late Night (00:00 to 04:00)",244
"55",47,"City",124,"Trip Completed",2016-07-11 03:22:00,"2016-07-11","03:22:00",2016-07-11 04:35:00,"2016-07-11","04:35:00",3,22,4,35,73,"City to Airport",55,"Late Night (00:00 to 04:00)",560.142857142857
"56",49,"Airport",NA,"No Cars Available",2016-07-11 03:29:00,"2016-07-11","03:29:00",NA,NA,NA,3,29,NA,NA,NA,"Airport to City",56,"Late Night (00:00 to 04:00)",NA
"57",53,"Airport",95,"Trip Completed",2016-07-11 03:30:00,"2016-07-11","03:30:00",2016-07-11 04:22:00,"2016-07-11","04:22:00",3,30,4,22,52,"Airport to City",57,"Late Night (00:00 to 04:00)",NA
"58",52,"City",NA,"No Cars Available",2016-07-11 03:30:00,"2016-07-11","03:30:00",NA,NA,NA,3,30,NA,NA,NA,"City to Airport",58,"Late Night (00:00 to 04:00)",NA
"59",51,"City",86,"Trip Completed",2016-07-11 03:34:00,"2016-07-11","03:34:00",2016-07-11 04:33:00,"2016-07-11","04:33:00",3,34,4,33,59,"City to Airport",59,"Late Night (00:00 to 04:00)",560.142857142857
"60",54,"City",NA,"No Cars Available",2016-07-11 03:34:00,"2016-07-11","03:34:00",NA,NA,NA,3,34,NA,NA,NA,"City to Airport",60,"Late Night (00:00 to 04:00)",NA
"61",55,"Airport",NA,"No Cars Available",2016-07-11 03:41:00,"2016-07-11","03:41:00",NA,NA,NA,3,41,NA,NA,NA,"Airport to City",61,"Late Night (00:00 to 04:00)",NA
"62",57,"City",NA,"No Cars Available",2016-07-11 03:52:00,"2016-07-11","03:52:00",NA,NA,NA,3,52,NA,NA,NA,"City to Airport",62,"Late Night (00:00 to 04:00)",NA
"63",60,"City",141,"Trip Completed",2016-07-11 03:57:00,"2016-07-11","03:57:00",2016-07-11 04:46:00,"2016-07-11","04:46:00",3,57,4,46,49,"City to Airport",63,"Late Night (00:00 to 04:00)",560.142857142857
"64",59,"City",NA,"No Cars Available",2016-07-11 03:58:00,"2016-07-11","03:58:00",NA,NA,NA,3,58,NA,NA,NA,"City to Airport",64,"Late Night (00:00 to 04:00)",NA
"65",56,"City",NA,"No Cars Available",2016-07-11 03:58:00,"2016-07-11","03:58:00",NA,NA,NA,3,58,NA,NA,NA,"City to Airport",65,"Late Night (00:00 to 04:00)",NA
"66",58,"Airport",NA,"No Cars Available",2016-07-11 04:03:00,"2016-07-11","04:03:00",NA,NA,NA,4,3,NA,NA,NA,"Airport to City",66,"Early Morning (04:00 to 08:00)",NA
"67",61,"Airport",NA,"No Cars Available",2016-07-11 04:05:00,"2016-07-11","04:05:00",NA,NA,NA,4,5,NA,NA,NA,"Airport to City",67,"Early Morning (04:00 to 08:00)",NA
"68",62,"Airport",NA,"No Cars Available",2016-07-11 04:10:00,"2016-07-11","04:10:00",NA,NA,NA,4,10,NA,NA,NA,"Airport to City",68,"Early Morning (04:00 to 08:00)",NA
"69",64,"City",52,"Trip Completed",2016-07-11 04:16:00,"2016-07-11","04:16:00",2016-07-11 05:28:00,"2016-07-11","05:28:00",4,16,5,28,72,"City to Airport",69,"Early Morning (04:00 to 08:00)",519.888888888889
"70",63,"Airport",NA,"No Cars Available",2016-07-11 04:17:00,"2016-07-11","04:17:00",NA,NA,NA,4,17,NA,NA,NA,"Airport to City",70,"Early Morning (04:00 to 08:00)",NA
"71",66,"City",255,"Trip Completed",2016-07-11 04:21:00,"2016-07-11","04:21:00",2016-07-11 04:54:00,"2016-07-11","04:54:00",4,21,4,54,33,"City to Airport",71,"Early Morning (04:00 to 08:00)",707
"72",65,"Airport",NA,"No Cars Available",2016-07-11 04:23:00,"2016-07-11","04:23:00",NA,NA,NA,4,23,NA,NA,NA,"Airport to City",72,"Early Morning (04:00 to 08:00)",NA
"73",67,"Airport",NA,"No Cars Available",2016-07-11 04:24:00,"2016-07-11","04:24:00",NA,NA,NA,4,24,NA,NA,NA,"Airport to City",73,"Early Morning (04:00 to 08:00)",NA
"74",69,"Airport",NA,"No Cars Available",2016-07-11 04:27:00,"2016-07-11","04:27:00",NA,NA,NA,4,27,NA,NA,NA,"Airport to City",74,"Early Morning (04:00 to 08:00)",NA
"75",68,"Airport",NA,"No Cars Available",2016-07-11 04:27:00,"2016-07-11","04:27:00",NA,NA,NA,4,27,NA,NA,NA,"Airport to City",75,"Early Morning (04:00 to 08:00)",NA
"76",70,"City",80,"Trip Completed",2016-07-11 04:34:00,"2016-07-11","04:34:00",2016-07-11 05:30:00,"2016-07-11","05:30:00",4,34,5,30,56,"City to Airport",76,"Early Morning (04:00 to 08:00)",519.888888888889
"77",72,"City",NA,"No Cars Available",2016-07-11 04:36:00,"2016-07-11","04:36:00",NA,NA,NA,4,36,NA,NA,NA,"City to Airport",77,"Early Morning (04:00 to 08:00)",NA
"78",73,"Airport",NA,"No Cars Available",2016-07-11 04:36:00,"2016-07-11","04:36:00",NA,NA,NA,4,36,NA,NA,NA,"Airport to City",78,"Early Morning (04:00 to 08:00)",NA
"79",71,"City",NA,"No Cars Available",2016-07-11 04:37:00,"2016-07-11","04:37:00",NA,NA,NA,4,37,NA,NA,NA,"City to Airport",79,"Early Morning (04:00 to 08:00)",NA
"80",74,"Airport",239,"Trip Completed",2016-07-11 04:38:00,"2016-07-11","04:38:00",2016-07-11 05:44:00,"2016-07-11","05:44:00",4,38,5,44,66,"Airport to City",80,"Early Morning (04:00 to 08:00)",NA
"81",75,"Airport",NA,"No Cars Available",2016-07-11 04:40:00,"2016-07-11","04:40:00",NA,NA,NA,4,40,NA,NA,NA,"Airport to City",81,"Early Morning (04:00 to 08:00)",NA
"82",79,"City",NA,"No Cars Available",2016-07-11 04:43:00,"2016-07-11","04:43:00",NA,NA,NA,4,43,NA,NA,NA,"City to Airport",82,"Early Morning (04:00 to 08:00)",NA
"83",83,"City",NA,"No Cars Available",2016-07-11 04:44:00,"2016-07-11","04:44:00",NA,NA,NA,4,44,NA,NA,NA,"City to Airport",83,"Early Morning (04:00 to 08:00)",NA
"84",76,"City",158,"Cancelled",2016-07-11 04:45:00,"2016-07-11","04:45:00",NA,NA,NA,4,45,NA,NA,NA,"City to Airport",84,"Early Morning (04:00 to 08:00)",NA
"85",78,"City",NA,"No Cars Available",2016-07-11 04:45:00,"2016-07-11","04:45:00",NA,NA,NA,4,45,NA,NA,NA,"City to Airport",85,"Early Morning (04:00 to 08:00)",NA
"86",87,"City",213,"Trip Completed",2016-07-11 04:46:00,"2016-07-11","04:46:00",2016-07-11 05:26:00,"2016-07-11","05:26:00",4,46,5,26,40,"City to Airport",86,"Early Morning (04:00 to 08:00)",519.888888888889
"87",77,"City",171,"Cancelled",2016-07-11 04:46:00,"2016-07-11","04:46:00",NA,NA,NA,4,46,NA,NA,NA,"City to Airport",87,"Early Morning (04:00 to 08:00)",NA
"88",81,"Airport",73,"Trip Completed",2016-07-11 04:47:00,"2016-07-11","04:47:00",2016-07-11 06:00:00,"2016-07-11","06:00:00",4,47,6,0,73,"Airport to City",88,"Early Morning (04:00 to 08:00)",NA
"89",82,"Airport",290,"Trip Completed",2016-07-11 04:47:00,"2016-07-11","04:47:00",2016-07-11 05:23:00,"2016-07-11","05:23:00",4,47,5,23,36,"Airport to City",89,"Early Morning (04:00 to 08:00)",NA
"90",80,"City",3,"Cancelled",2016-07-11 04:47:00,"2016-07-11","04:47:00",NA,NA,NA,4,47,NA,NA,NA,"City to Airport",90,"Early Morning (04:00 to 08:00)",NA
"91",85,"City",144,"Cancelled",2016-07-11 04:47:00,"2016-07-11","04:47:00",NA,NA,NA,4,47,NA,NA,NA,"City to Airport",91,"Early Morning (04:00 to 08:00)",NA
"92",91,"Airport",234,"Trip Completed",2016-07-11 04:49:00,"2016-07-11","04:49:00",2016-07-11 05:39:00,"2016-07-11","05:39:00",4,49,5,39,50,"Airport to City",92,"Early Morning (04:00 to 08:00)",NA
"93",84,"City",28,"Trip Completed",2016-07-11 04:50:00,"2016-07-11","04:50:00",2016-07-11 05:26:00,"2016-07-11","05:26:00",4,50,5,26,36,"City to Airport",93,"Early Morning (04:00 to 08:00)",519.888888888889
"94",86,"City",174,"Cancelled",2016-07-11 04:51:00,"2016-07-11","04:51:00",NA,NA,NA,4,51,NA,NA,NA,"City to Airport",94,"Early Morning (04:00 to 08:00)",NA
"95",89,"City",280,"Trip Completed",2016-07-11 04:52:00,"2016-07-11","04:52:00",2016-07-11 05:51:00,"2016-07-11","05:51:00",4,52,5,51,59,"City to Airport",95,"Early Morning (04:00 to 08:00)",868
"96",93,"City",69,"Trip Completed",2016-07-11 04:53:00,"2016-07-11","04:53:00",2016-07-11 05:30:00,"2016-07-11","05:30:00",4,53,5,30,37,"City to Airport",96,"Early Morning (04:00 to 08:00)",519.888888888889
"97",90,"Airport",126,"Trip Completed",2016-07-11 04:53:00,"2016-07-11","04:53:00",2016-07-11 05:34:00,"2016-07-11","05:34:00",4,53,5,34,41,"Airport to City",97,"Early Morning (04:00 to 08:00)",NA
"98",92,"City",16,"Cancelled",2016-07-11 04:53:00,"2016-07-11","04:53:00",NA,NA,NA,4,53,NA,NA,NA,"City to Airport",98,"Early Morning (04:00 to 08:00)",NA
"99",88,"Airport",76,"Trip Completed",2016-07-11 04:54:00,"2016-07-11","04:54:00",2016-07-11 06:07:00,"2016-07-11","06:07:00",4,54,6,7,73,"Airport to City",99,"Early Morning (04:00 to 08:00)",NA
"100",95,"Airport",270,"Trip Completed",2016-07-11 04:54:00,"2016-07-11","04:54:00",2016-07-11 06:03:00,"2016-07-11","06:03:00",4,54,6,3,69,"Airport to City",100,"Early Morning (04:00 to 08:00)",NA
"101",96,"City",21,"Cancelled",2016-07-11 04:58:00,"2016-07-11","04:58:00",NA,NA,NA,4,58,NA,NA,NA,"City to Airport",101,"Early Morning (04:00 to 08:00)",NA
"102",105,"City",182,"Cancelled",2016-07-11 04:58:00,"2016-07-11","04:58:00",NA,NA,NA,4,58,NA,NA,NA,"City to Airport",102,"Early Morning (04:00 to 08:00)",NA
"103",98,"City",205,"Cancelled",2016-07-11 04:58:00,"2016-07-11","04:58:00",NA,NA,NA,4,58,NA,NA,NA,"City to Airport",103,"Early Morning (04:00 to 08:00)",NA
"104",94,"City",265,"Trip Completed",2016-07-11 04:59:00,"2016-07-11","04:59:00",2016-07-11 05:58:00,"2016-07-11","05:58:00",4,59,5,58,59,"City to Airport",104,"Early Morning (04:00 to 08:00)",519.888888888889
"105",100,"City",256,"Trip Completed",2016-07-11 05:00:00,"2016-07-11","05:00:00",2016-07-11 05:47:00,"2016-07-11","05:47:00",5,0,5,47,47,"City to Airport",105,"Early Morning (04:00 to 08:00)",1060
"106",99,"City",70,"Cancelled",2016-07-11 05:00:00,"2016-07-11","05:00:00",NA,NA,NA,5,0,NA,NA,NA,"City to Airport",106,"Early Morning (04:00 to 08:00)",NA
"107",104,"City",NA,"No Cars Available",2016-07-11 05:00:00,"2016-07-11","05:00:00",NA,NA,NA,5,0,NA,NA,NA,"City to Airport",107,"Early Morning (04:00 to 08:00)",NA
"108",102,"Airport",100,"Trip Completed",2016-07-11 05:01:00,"2016-07-11","05:01:00",2016-07-11 05:38:00,"2016-07-11","05:38:00",5,1,5,38,37,"Airport to City",108,"Early Morning (04:00 to 08:00)",NA
"109",112,"Airport",116,"Trip Completed",2016-07-11 05:01:00,"2016-07-11","05:01:00",2016-07-11 06:04:00,"2016-07-11","06:04:00",5,1,6,4,63,"Airport to City",109,"Early Morning (04:00 to 08:00)",NA
"110",97,"City",138,"Trip Completed",2016-07-11 05:01:00,"2016-07-11","05:01:00",2016-07-11 05:39:00,"2016-07-11","05:39:00",5,1,5,39,38,"City to Airport",110,"Early Morning (04:00 to 08:00)",1161
"111",109,"City",284,"Cancelled",2016-07-11 05:01:00,"2016-07-11","05:01:00",NA,NA,NA,5,1,NA,NA,NA,"City to Airport",111,"Early Morning (04:00 to 08:00)",NA
"112",107,"City",215,"Cancelled",2016-07-11 05:02:00,"2016-07-11","05:02:00",NA,NA,NA,5,2,NA,NA,NA,"City to Airport",112,"Early Morning (04:00 to 08:00)",NA
"113",103,"City",NA,"No Cars Available",2016-07-11 05:02:00,"2016-07-11","05:02:00",NA,NA,NA,5,2,NA,NA,NA,"City to Airport",113,"Early Morning (04:00 to 08:00)",NA
"114",120,"City",268,"Cancelled",2016-07-11 05:04:00,"2016-07-11","05:04:00",NA,NA,NA,5,4,NA,NA,NA,"City to Airport",114,"Early Morning (04:00 to 08:00)",NA
"115",110,"City",22,"Trip Completed",2016-07-11 05:05:00,"2016-07-11","05:05:00",2016-07-11 06:06:00,"2016-07-11","06:06:00",5,5,6,6,61,"City to Airport",115,"Early Morning (04:00 to 08:00)",621.166666666667
"116",126,"City",40,"Cancelled",2016-07-11 05:05:00,"2016-07-11","05:05:00",NA,NA,NA,5,5,NA,NA,NA,"City to Airport",116,"Early Morning (04:00 to 08:00)",NA
"117",106,"City",194,"Trip Completed",2016-07-11 05:06:00,"2016-07-11","05:06:00",2016-07-11 05:38:00,"2016-07-11","05:38:00",5,6,5,38,32,"City to Airport",117,"Early Morning (04:00 to 08:00)",429
"118",111,"City",62,"Cancelled",2016-07-11 05:06:00,"2016-07-11","05:06:00",NA,NA,NA,5,6,NA,NA,NA,"City to Airport",118,"Early Morning (04:00 to 08:00)",NA
"119",116,"Airport",286,"Trip Completed",2016-07-11 05:07:00,"2016-07-11","05:07:00",2016-07-11 05:53:00,"2016-07-11","05:53:00",5,7,5,53,46,"Airport to City",119,"Early Morning (04:00 to 08:00)",NA
"120",101,"Airport",99,"Trip Completed",2016-07-11 05:08:00,"2016-07-11","05:08:00",2016-07-11 06:09:00,"2016-07-11","06:09:00",5,8,6,9,61,"Airport to City",120,"Early Morning (04:00 to 08:00)",NA
"121",113,"City",185,"Cancelled",2016-07-11 05:09:00,"2016-07-11","05:09:00",NA,NA,NA,5,9,NA,NA,NA,"City to Airport",121,"Early Morning (04:00 to 08:00)",NA
"122",108,"City",248,"Cancelled",2016-07-11 05:09:00,"2016-07-11","05:09:00",NA,NA,NA,5,9,NA,NA,NA,"City to Airport",122,"Early Morning (04:00 to 08:00)",NA
"123",114,"City",217,"Trip Completed",2016-07-11 05:10:00,"2016-07-11","05:10:00",2016-07-11 05:40:00,"2016-07-11","05:40:00",5,10,5,40,30,"City to Airport",123,"Early Morning (04:00 to 08:00)",621.166666666667
"124",127,"City",173,"Cancelled",2016-07-11 05:10:00,"2016-07-11","05:10:00",NA,NA,NA,5,10,NA,NA,NA,"City to Airport",124,"Early Morning (04:00 to 08:00)",NA
"125",129,"City",189,"Cancelled",2016-07-11 05:10:00,"2016-07-11","05:10:00",NA,NA,NA,5,10,NA,NA,NA,"City to Airport",125,"Early Morning (04:00 to 08:00)",NA
"126",119,"City",204,"Cancelled",2016-07-11 05:10:00,"2016-07-11","05:10:00",NA,NA,NA,5,10,NA,NA,NA,"City to Airport",126,"Early Morning (04:00 to 08:00)",NA
"127",131,"City",NA,"No Cars Available",2016-07-11 05:10:00,"2016-07-11","05:10:00",NA,NA,NA,5,10,NA,NA,NA,"City to Airport",127,"Early Morning (04:00 to 08:00)",NA
"128",118,"Airport",44,"Trip Completed",2016-07-11 05:11:00,"2016-07-11","05:11:00",2016-07-11 05:52:00,"2016-07-11","05:52:00",5,11,5,52,41,"Airport to City",128,"Early Morning (04:00 to 08:00)",NA
"129",125,"City",38,"Trip Completed",2016-07-11 05:12:00,"2016-07-11","05:12:00",2016-07-11 06:17:00,"2016-07-11","06:17:00",5,12,6,17,65,"City to Airport",129,"Early Morning (04:00 to 08:00)",621.166666666667
"130",128,"City",43,"Trip Completed",2016-07-11 05:12:00,"2016-07-11","05:12:00",2016-07-11 05:48:00,"2016-07-11","05:48:00",5,12,5,48,36,"City to Airport",130,"Early Morning (04:00 to 08:00)",621.166666666667
"131",123,"City",130,"Trip Completed",2016-07-11 05:12:00,"2016-07-11","05:12:00",2016-07-11 06:14:00,"2016-07-11","06:14:00",5,12,6,14,62,"City to Airport",131,"Early Morning (04:00 to 08:00)",373
"132",130,"City",206,"Cancelled",2016-07-11 05:12:00,"2016-07-11","05:12:00",NA,NA,NA,5,12,NA,NA,NA,"City to Airport",132,"Early Morning (04:00 to 08:00)",NA
